ID,Block,Chapter / Subtopic,Question Type,Question Text,Data / Paragraph,Options / Answer Choices,Correct Answer,Difficulty Level
Q001,Arithmetic,Averages,MCQ,The average of the first fifteen natural numbers is,,"8.5, 7.5, 6.5, 8",D,Very Easy
Q002,Arithmetic,Averages,MCQ,The average of the first ten whole numbers is,,"4.5, 5, 5.5, 4",A,Very Easy
Q003,Arithmetic,Averages,MCQ,The average of the first ten even numbers is,,"18, 22, 9, 11",D,Very Easy
Q004,Arithmetic,Averages,MCQ,The average of the first ten odd numbers is,,"11, 10, 17, 9",B,Very Easy
Q005,Arithmetic,Averages,MCQ,The average of the first ten prime numbers is,,"15.5, 12.5, 10, 12.9",D,Very Easy
Q006,Arithmetic,Averages,MCQ,The average of the first ten composite numbers is,,"12.9, 11, 11.2, 10",C,Very Easy
Q007,Arithmetic,Averages,MCQ,"The average of the first ten prime numbers, which are odd, is",,"12.9, 13.8, 17, 15.8",D,Easy
Q008,Arithmetic,Averages,MCQ,"The average age of 13 boys and the principal is 10 years. When the principal’s age is excluded, the average age decreases by 2 years. What is the age of the principal?",,"34, 36, 38, 40",B,Easy
Q009,Arithmetic,Averages,MCQ,"The average weight of 3 boys A, B and C is 74 kg. Another boy D joins the group and the average now becomes 70 kg. If another boy E, whose weight is 3 kg more than that of D, replaces A then the average weight of B, C, D and E becomes 75 kg. The weight of A is",,"40 kg, 42 kg, 49 kg, 41 kg",D,Easy
Q010,Arithmetic,Averages,MCQ,"The mean temperature of Monday to Wednesday was 35°C and of Tuesday to Thursday was 30°C. If the temperature on Thursday was ½ that of Monday, the temperature on Thursday was",,"30°C, 15°C, 20°C, 25°C",B,Easy
Q011,Arithmetic,Averages,MCQ,"Five years ago, the average age of A, B and C was 25 years and that of B and C 10 years ago was 20 years. A’s present age is",,"30 years, 35 years, 40 years, 48 years",A,Easy
Q012,Arithmetic,Averages,MCQ,"Ganguly has a certain average for 4 innings. In the 5th inning, he scores 40 runs thereby increasing his average by 4 runs. His new average is",,"20, 24, 28, 32",B,Easy
Q013,Arithmetic,Averages,MCQ,"A bus travels with a speed of 10 km/h in the first 15 minutes, goes 5 km in the next 15 minutes, 15 km in the next 15, 10 km in the next 15. What is the average speed of the bus in km/h for the journey described?",,"45, 32.50, 50.50, 40",B,Moderate
Q014,Arithmetic,Averages,MCQ,"With an average speed of 25 km/h, a train reaches its destination in time. If it goes with an average speed of 20 km/h, it is late by 1 hour. The length of the total journey is",,"90 km, 100 km, 120 km, 80 km",B,Moderate
Q015,Arithmetic,Averages,MCQ,"In the month of January of a certain year, the average daily expenditure of an organisation was ₹60. For the first 15 days, it was ₹80 and for the last 17 days ₹50. Find the amount spent on the 15th of the month.",,"190, 160, 180, 130",A,Moderate
Q016,Arithmetic,Averages,MCQ,"One-fifth of a certain journey is covered at the rate of 20 km/h, one-fourth at the rate of 50 km/h and the rest at 55 km/h. Find the average speed for the whole journey.",,"53, 40, 35, 38",B,Moderate
Q017,Arithmetic,Averages,MCQ,A batsman makes a score of 40 runs in the 5th inning and thus increases his average by 4. Find the possible value of the new average.,,"28, 24, 12, 20",B,Moderate
Q018,Arithmetic,Averages,MCQ,"Aman can type a sheet in 10 minutes, Baman in 20 minutes and Chaman in 30 minutes. The average number of sheets typed per hour per typist for all three typists is",,"11/3, 30/7, 55/9, 32/11",A,Moderate
Q019,Arithmetic,Averages,Case Study,"If five students are transferred from A to B, what will happen to the average score of B?","Case Study: There are 3 classes having 20, 25 and 30 students respectively having average marks 20, 25 and 30. If the three classes are represented by A, B and C and have the following: A → Highest 22, Lowest 18 B → Highest 31, Lowest 23 C → Highest 33, Lowest 26","Definitely increase, Definitely decrease, Remain constant, Cannot say",B,Difficult
Q020,Arithmetic,Averages,Case Study,"If five students are transferred from A to B, what will happen to the average score of A?","Case Study: There are 3 classes having 20, 25 and 30 students respectively having average marks 20, 25 and 30. If the three classes are represented by A, B and C and have the following: A → Highest 22, Lowest 18 B → Highest 31, Lowest 23 C → Highest 33, Lowest 26","Definitely increase, Definitely decrease, Remain constant, Cannot say",D,Difficult
Q021,Arithmetic,Averages,Case Study,"In a transfer of 5 students from A to C, what will happen to the average score of C?","Case Study: There are 3 classes having 20, 25 and 30 students respectively having average marks 20, 25 and 30. If the three classes are represented by A, B and C and have the following: A → Highest 22, Lowest 18 B → Highest 31, Lowest 23 C → Highest 33, Lowest 26","Definitely increase, Definitely decrease, Remain constant, Cannot say",B,Difficult
Q022,Arithmetic,Averages,Case Study,"In a transfer of 5 students from A to C, what will happen to the average score of A?","Case Study: There are 3 classes having 20, 25 and 30 students respectively having average marks 20, 25 and 30. If the three classes are represented by A, B and C and have the following: A → Highest 22, Lowest 18 B → Highest 31, Lowest 23 C → Highest 33, Lowest 26","Definitely increase, Definitely decrease, Remain constant, Cannot say",D,Difficult
Q023,Arithmetic,Averages,Case Study,"In a transfer of 5 students from B to C, what will happen to the average score of C?","Case Study: There are 3 classes having 20, 25 and 30 students respectively having average marks 20, 25 and 30. If the three classes are represented by A, B and C and have the following: A → Highest 22, Lowest 18 B → Highest 31, Lowest 23 C → Highest 33, Lowest 26","Definitely increase, Definitely decrease, Remain constant, Cannot say",D,Difficult
Q024,Arithmetic,Averages,Case Study,Which of these can be said about the average score of B?,"Case Study: There are 3 classes having 20, 25 and 30 students respectively having average marks 20, 25 and 30. If the three classes are represented by A, B and C and have the following: A → Highest 22, Lowest 18 B → Highest 31, Lowest 23 C → Highest 33, Lowest 26","Increases if C decreases, Decreases if C increases, Increases if C decreases, Decreases if C decreases",B,Difficult
Q025,Arithmetic,Allegations,MCQ,A mixture of 160 gallons of wine and water contains 25% water. How much water must be added to the mixture in order to increase the percentage of water to 40% of the new mixture?,,"40 gals, 50 gals, 80 gals, 33 gals",A,Very Easy
Q026,Arithmetic,Allegations,MCQ,"800 students took the CAT exam in Delhi. 50% of the boys and 90% of the girls cleared the cut off in the examination. If the total percentage of qualifying students is 60%, how many girls appeared in the examination?",,"100, 120, 150, 200",D,Very Easy
Q027,Arithmetic,Allegations,MCQ,"If 10 kg of sugar costing ₹15/kg and 20 kg of salt costing ₹10/kg are mixed, find the average cost of the mixture in ₹ per kilogram.",,"11.67, 12.33, 12.67, 11.33",A,Very Easy
Q028,Arithmetic,Allegations,MCQ,"The average salary per head of all workers (Grade A and Grade B) of a company is ₹400. The average salary of 100 grade A workers is ₹1000. If the average salary per head of the rest of the Grade B workers is ₹300, find the total number of workers in the company.",,"1000, 800, 500, 700",D,Very Easy
Q029,Arithmetic,Allegations,MCQ,"Ashok purchased two qualities of grains at the rate of ₹100 per quintal and ₹160 per quintal. In 50 quintals of the second quality, how much grain of the first quality should be mixed so that by selling the resulting mixture at ₹195 per quintal, he gains a profit of 30%?",,"10 quintals, 14 quintals, 20 quintals, None of these",A,Very Easy
Q030,Arithmetic,Allegations,MCQ,Two types of milk having the rates of ₹8/kg and ₹10/kg respectively are mixed in order to produce a mixture having the rate of ₹9.20/kg. What should be the amount of the second type of milk if the amount of the first type of milk in the mixture is 20 kg?,,"25 kg, 30 kg, 40 kg, 20 kg",B,Very Easy
Q031,Arithmetic,Allegations,MCQ,"How many kilograms of salt worth ₹360 per kg should be mixed with 10 kg of salt worth ₹420 per kg, such that by selling the mixture at ₹480 per kg, there may be a gain of 20%?",,"5 kg, 3 kg, 2 kg, 4 kg",A,Very Easy
Q032,Arithmetic,Allegations,MCQ,Kiran lends ₹1000 on simple interest to Harsh for a period of 5 years. She lends a part of the amount at 2% interest and the rest at 8% and receives ₹300 as the amount of interest. How much money (in ₹) did she lend on 2% interest rate?,,"333.33, 666.67, 400, 500",A,Easy
