id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,difficulty_numeric,answer_numeric,tag_encoded,option_a_numeric,option_b_numeric,option_c_numeric,option_d_numeric,correct_option_value,question_length,question_word_count,options_mean,options_std,options_range,answer_position,difficulty_rarity,difficulty_bin
Q000000,The average of the first fifteen natural numbers is,8.5,7.5,6.5,8,D,Very Easy,0.0,3.0,1,8.5,7.5,6.5,8.0,8.0,-0.5338260968999445,-0.538360391467607,-0.9049075627991778,-0.4531507137931786,-0.4846414444636117,3.0,0.011111111111111112,very_easy
Q000001,The average of the first ten whole numbers is,4.5,5,5.5,4,A,Very Easy,0.0,0.0,1,4.5,5.0,5.5,4.0,4.5,-0.6143847001265486,-0.538360391467607,-0.9063647111704084,-0.4533624761975275,-0.4848949107318494,0.0,0.011111111111111112,very_easy
Q000002,The average of the first ten even numbers is,18,22,9,11,D,Very Easy,0.0,3.0,1,18.0,22.0,9.0,11.0,11.0,-0.6278111339976492,-0.538360391467607,-0.9011696604555862,-0.4478657934881508,-0.47906518656238106,3.0,0.011111111111111112,very_easy
Q000003,The average of the first ten odd numbers is,11,10,17,9,B,Very Easy,0.0,1.0,1,11.0,10.0,17.0,9.0,10.0,-0.64123756786875,-0.538360391467607,-0.902816871657847,-0.4503666456126009,-0.4815998492447586,1.0,0.011111111111111112,very_easy
Q000004,The average of the first ten prime numbers is,15.5,12.5,10,12.9,D,Very Easy,0.0,3.0,1,15.5,12.5,10.0,12.9,12.9,-0.6143847001265486,-0.538360391467607,-0.9023227082971688,-0.45173070098704865,-0.48286718058594735,3.0,0.011111111111111112,very_easy
Q000005,The average of the first ten composite numbers is,12.9,11,11.2,10,C,Very Easy,0.0,2.0,1,12.9,11.0,11.2,10.0,11.2,-0.5606789646421458,-0.538360391467607,-0.903057617910485,-0.45279519370798327,-0.48418520518078373,2.0,0.011111111111111112,very_easy
Q000006,"The average of the first ten prime numbers, which are odd, is",12.9,13.8,17,15.8,D,Easy,1.0,3.0,1,12.9,13.8,17.0,15.8,15.8,-0.3995617581889378,-0.33880409152857605,-0.9012330147325963,-0.45212404031429976,-0.48357688613701305,3.0,0.008064516129032258,easy
Q000007,"The average age of 13 boys and the principal is 10 years. When the principal’s age is excluded, the average age decreases by 2 years. What is the age of the principal?",34,36,38,40,B,Easy,1.0,1.0,1,34.0,36.0,38.0,40.0,36.0,1.0236402321477336,0.9915712413982966,-0.8900193077018217,-0.4513948852622518,-0.4826137143177096,1.0,0.008064516129032258,easy
Q000008,"The average weight of 3 boys A, B and C is 74 kg. Another boy D joins the group and the average now becomes 70 kg. If another boy E, whose weight is 3 kg more than that of D, replaces A then the average weight of B, C, D and E becomes 75 kg. The weight of A is",40 kg,42 kg,49 kg,41 kg,D,Easy,1.0,3.0,1,40.0,42.0,49.0,41.0,41.0,2.2722985821600963,2.854096707495918,-0.8869783024053404,-0.4498702939366379,-0.4810929167082831,3.0,0.008064516129032258,easy
Q000009,"The mean temperature of Monday to Wednesday was 35°C and of Tuesday to Thursday was 30°C. If the temperature on Thursday was ½ that of Monday, the temperature on Thursday was",30°C,15°C,20°C,25°C,B,Easy,1.0,1.0,1,30.0,15.0,20.0,25.0,15.0,1.1176252692454383,0.925052474751953,-0.8973684038349847,-0.4474597033917003,-0.47805132148943,1.0,0.008064516129032258,easy
Q000010,"Five years ago, the average age of A, B and C was 25 years and that of B and C 10 years ago was 20 years. A’s present age is",30 years,35 years,40 years,48 years,A,Easy,1.0,0.0,1,30.0,35.0,40.0,48.0,30.0,0.44630357569040463,0.8585337081056094,-0.8893857649317214,-0.4462193516452448,-0.4765305238800035,0.0,0.008064516129032258,easy
Q000011,"Ganguly has a certain average for 4 innings. In the 5th inning, he scores 40 runs thereby increasing his average by 4 runs. His new average is",20,24,28,32,B,Easy,1.0,1.0,1,20.0,24.0,28.0,32.0,24.0,0.6879793853702167,0.6589774081665785,-0.895594484078704,-0.4487714306818842,-0.47957211909885655,1.0,0.008064516129032258,easy
Q000012,"A bus travels with a speed of 10 km/h in the first 15 minutes, goes 5 km in the next 15 minutes, 15 km in the next 15, 10 km in the next 15. What is the average speed of the bus in km/h for the journey described?",45,32.50,50.50,40,B,Moderate,2.0,1.0,1,45.0,32.5,50.5,40.0,32.5,1.627829756347264,2.055871507739795,-0.8874851366214206,-0.44624697832858373,-0.4765305238800035,1.0,0.00684931506849315,moderate
Q000013,"With an average speed of 25 km/h, a train reaches its destination in time. If it goes with an average speed of 20 km/h, it is late by 1 hour. The length of the total journey is",90 km,100 km,120 km,80 km,B,Moderate,2.0,1.0,1,90.0,100.0,120.0,80.0,100.0,1.1444781369876396,1.3241650746300146,-0.8593558376289689,-0.4366658188538044,-0.4653780080775423,1.0,0.00684931506849315,moderate
Q000014,"In the month of January of a certain year, the average daily expenditure of an organisation was ₹60. For the first 15 days, it was ₹80 and for the last 17 days ₹50. Find the amount spent on the 15th of the month.",190,160,180,130,A,Moderate,2.0,0.0,1,190.0,160.0,180.0,130.0,190.0,1.627829756347264,1.7232776745080765,-0.8251445280435548,-0.4271359299208613,-0.45523935734803217,0.0,0.00684931506849315,moderate
Q000015,"One-fifth of a certain journey is covered at the rate of 20 km/h, one-fourth at the rate of 50 km/h and the rest at 55 km/h. Find the average speed for the whole journey.",53,40,35,38,B,Moderate,2.0,1.0,1,53.0,40.0,35.0,38.0,40.0,1.0639195337610357,1.1246087746909839,-0.8877385537294608,-0.445953616866092,-0.4765305238800035,1.0,0.00684931506849315,moderate
Q000016,A batsman makes a score of 40 runs in the 5th inning and thus increases his average by 4. Find the possible value of the new average.,28,24,12,20,B,Moderate,2.0,1.0,1,28.0,24.0,12.0,20.0,24.0,0.5671414805303107,0.6589774081665785,-0.898128655159105,-0.4470773314470934,-0.47754438895295453,1.0,0.00684931506849315,moderate
Q000017,"Aman can type a sheet in 10 minutes, Baman in 20 minutes and Chaman in 30 minutes. The average number of sheets typed per hour per typist for all three typists is",11/3,30/7,55/9,32/11,A,Moderate,2.0,0.0,1,11.0,30.0,55.0,32.0,11.0,0.9565080627922302,0.9915712413982966,-0.8925534787822227,-0.4357104609745811,-0.4633502779316403,0.0,0.00684931506849315,moderate
Q000018,"If five students are transferred from A to B, what will happen to the average score of B?",Definitely increase,Definitely decrease,Remain constant,Cannot say,B,Difficult,3.0,1.0,1,2386.0,2386.0,1994.0,1495.0,2386.0,-0.023621609798118944,0.06030850834948573,0.13796719106286398,-0.02453120112441537,-0.033978419536884866,1.0,0.00819672131147541,difficult
Q000019,"If five students are transferred from A to B, what will happen to the average score of A?",Definitely increase,Definitely decrease,Remain constant,Cannot say,D,Difficult,3.0,3.0,1,2386.0,2386.0,1994.0,1495.0,1495.0,-0.023621609798118944,0.06030850834948573,0.13796719106286398,-0.02453120112441537,-0.033978419536884866,3.0,0.00819672131147541,difficult
Q000020,"In a transfer of 5 students from A to C, what will happen to the average score of C?",Definitely increase,Definitely decrease,Remain constant,Cannot say,B,Difficult,3.0,1.0,1,2386.0,2386.0,1994.0,1495.0,2386.0,-0.09075377915362232,0.12682727499582935,0.13796719106286398,-0.02453120112441537,-0.033978419536884866,1.0,0.00819672131147541,difficult
Q000021,"In a transfer of 5 students from A to C, what will happen to the average score of A?",Definitely increase,Definitely decrease,Remain constant,Cannot say,D,Difficult,3.0,3.0,1,2386.0,2386.0,1994.0,1495.0,1495.0,-0.09075377915362232,0.12682727499582935,0.13796719106286398,-0.02453120112441537,-0.033978419536884866,3.0,0.00819672131147541,difficult
Q000022,"In a transfer of 5 students from B to C, what will happen to the average score of C?",Definitely increase,Definitely decrease,Remain constant,Cannot say,D,Difficult,3.0,3.0,1,2386.0,2386.0,1994.0,1495.0,1495.0,-0.09075377915362232,0.12682727499582935,0.13796719106286398,-0.02453120112441537,-0.033978419536884866,3.0,0.00819672131147541,difficult
Q000023,Which of these can be said about the average score of B?,Increases if C decreases,Decreases if C increases,Increases if C decreases,Decreases if C decreases,B,Difficult,3.0,1.0,1,2897.0,2883.0,2897.0,2883.0,2883.0,-0.46669392754444117,-0.33880409152857605,0.555978710775017,-0.44580562795400014,-0.47855825402590557,1.0,0.00819672131147541,difficult
Q000024,A mixture of 160 gallons of wine and water contains 25% water. How much water must be added to the mixture in order to increase the percentage of water to 40% of the new mixture?,40 gals,50 gals,80 gals,33 gals,A,Very Easy,0.0,0.0,0,40.0,50.0,80.0,33.0,40.0,1.171331004729841,1.1911275413373275,-0.8830503372307188,-0.4329754374689148,-0.46182948032221377,0.0,0.011111111111111112,very_easy
Q000025,"800 students took the CAT exam in Delhi. 50% of the boys and 90% of the girls cleared the cut off in the examination. If the total percentage of qualifying students is 60%, how many girls appeared in the examination?",100,120,150,200,D,Very Easy,0.0,3.0,0,100.0,120.0,150.0,200.0,200.0,1.6815354918316665,1.5237213745690457,-0.8365482979053596,-0.40982656086589453,-0.4349620558890119,3.0,0.011111111111111112,very_easy
Q000026,"If 10 kg of sugar costing ₹15/kg and 20 kg of salt costing ₹10/kg are mixed, find the average cost of the mixture in ₹ per kilogram.",11.67,12.33,12.67,11.33,A,Very Easy,0.0,0.0,0,11.67,12.33,12.67,11.33,11.67,0.55371504665921,0.6589774081665785,-0.9026901631038269,-0.45339873785157325,-0.48497601993768547,0.0,0.011111111111111112,very_easy
Q000027,"The average salary per head of all workers (Grade A and Grade B) of a company is ₹400. The average salary of 100 grade A workers is ₹1000. If the average salary per head of the rest of the Grade B workers is ₹300, find the total number of workers in the company.",1000,800,500,700,D,Very Easy,0.0,3.0,0,1000.0,800.0,500.0,700.0,700.0,2.2991514499022974,2.388465340971513,-0.528646511636632,-0.2425086696638383,-0.23218904129880857,3.0,0.011111111111111112,very_easy
Q000028,"Ashok purchased two qualities of grains at the rate of ₹100 per quintal and ₹160 per quintal. In 50 quintals of the second quality, how much grain of the first quality should be mixed so that by selling the resulting mixture at ₹195 per quintal, he gains a profit of 30%?",10 quintals,14 quintals,20 quintals,None of these,A,Very Easy,0.0,0.0,0,10.0,14.0,20.0,1732.0,10.0,2.419989354742204,2.2554278076788257,-0.6837377817571763,0.4184481536241085,0.38728251827426247,0.0,0.011111111111111112,very_easy
